      HW1   HW2   HW3   HW4    HW5   HW6   HW7   HW8   HW9 ATT  QZ1 QZ2  QZ3 QZ4
1   100.0 100.0 100.0 100.0 100.00 100.0 100.0 100.0 100.0  12 12.0  18 20.0  20
2    85.0  95.0 100.0  95.0  95.00  95.0 100.0 100.0 100.0  12 11.0  16 18.0  19
3    87.5 100.0  85.0  70.0 100.00  98.0   0.0  80.0   0.0   7 10.0  10 10.0   0
4    92.5 100.0 100.0 100.0  96.25  99.0 100.0  92.5  95.0  12  8.0  16 13.0  13
5    32.5   0.0  65.0  60.0   0.00  46.0   0.0   0.0   0.0   5  5.0   9  0.0   0
6    75.0  85.0  92.5  95.0 100.00  91.0   0.0   0.0  90.0   9 11.0  17  0.0  15
7    90.0 100.0  97.5  95.0  80.00  80.0  52.0  90.0  90.0  12 11.0   9 15.0  18
8    92.5  95.0 100.0  90.0 100.00  72.0  95.0  74.5 100.0  12 10.0   8 12.0  13
9    82.5  85.0  92.5  70.0 100.00   0.0  84.0  90.0  95.0  12 11.0  18 14.0  19
10   75.0  95.0  95.0  95.0  95.00  96.0   0.0 100.0  98.0  12  7.0  10 13.0  16
11    0.0  77.5   0.0  15.0   0.00  70.0  80.0  80.0  57.5  11  8.0   5  7.0   3
12   95.0 100.0 100.0 100.0 100.00  90.0 100.0 100.0  70.0  12 12.0  18 16.0  20
13   82.5   0.0  82.5  80.0 100.00   0.0   0.0   0.0  70.0  12  9.0   7  9.0  12
14   80.0  92.5  87.5 100.0 100.00  69.0  51.5  80.0  75.0  12 12.0  15 13.5  20
15   87.5 100.0 100.0 100.0  85.00  90.0 100.0 100.0  80.0  12  8.0  13 12.0  15
16   50.0   0.0  67.5  50.0   0.00  78.0  41.5  82.5  80.0  11  4.0  10 14.0  17
17   47.5  70.0  77.5  30.0  85.00  55.0  78.0  92.5  80.0  11  8.0   3  0.0   6
18   77.5  85.0 100.0 100.0  95.00  93.0  82.0  90.0  95.0  12  9.0  10 14.0  13
19   65.0  92.5  92.5   0.0  95.00  80.0  74.0  80.0  80.0  12 10.0   9 13.0  14
20   52.5  75.0  85.0  90.0  86.25  99.0  70.0 100.0   0.0   8  8.0  14  5.0  10
21   77.5  97.5 100.0 100.0 100.00 100.0 100.0 100.0 100.0  12 11.0  18 14.0  20
22   95.0  77.5  95.0 100.0 100.00  87.0 100.0  90.0 100.0  12 12.0  17 14.0  19
23   70.0  67.5  75.0  70.0  95.00  77.0  79.0   0.0  63.5  11 11.0  11  0.0  16
24   77.5  70.0  87.5  90.0  80.00  81.0  87.0  90.0  85.0  11  8.0   0  0.0  14
25   72.5  72.5  85.0  80.0  90.00  93.0 100.0 100.0 100.0  12 11.0  16 14.0  19
26   80.0  80.0  85.0  60.0  92.50  71.0  48.0  64.0  95.0  12  4.0   4  8.0   5
27   97.0 100.0 100.0 100.0 100.00  98.0 100.0   0.0  96.0  12  9.0   7  0.0  20
28   92.5 100.0 100.0  80.0 100.00   0.0  83.0  95.0  90.0  12  8.0   3 15.0  14
29   87.5  55.0  87.5  52.5  70.00  98.0  90.0  90.0  80.0  12 10.0  12  6.0  16
30   92.5  92.5  85.0  90.0  95.00  87.0  73.0 100.0  80.0  12 10.0  13 17.0  18
31   52.5  97.5 100.0  90.0  95.00  95.0 100.0  85.0  70.0  12 11.0  10 13.0  15
32   86.5  94.0  95.0 100.0  95.00  90.0  77.0  60.0  98.0  10  8.0  11 13.0  17
33   88.5  85.0 100.0 100.0 100.00  99.0 100.0 100.0  94.0  12 12.0  16 18.0  20
34   95.0  98.0 100.0  80.0 100.00  90.0  52.0  70.0 100.0  12 10.0   8 15.0  16
35   85.0  77.5  92.5  55.0  65.00  64.0  26.0  62.5  85.0  12  4.0   9  6.0  12
36   87.5 100.0 100.0  70.0  95.00 100.0  78.0  90.0  80.0  12  8.0   8  8.0  18
37   76.0  72.5  50.0   0.0  61.25  71.0  51.0  50.0  80.0  12  7.0  10 10.0   4
38   81.0  97.5 100.0  75.0  95.00  87.0  82.0  90.0  95.0  12 12.0  18 15.0  11
39   92.5 100.0  92.5  90.0 100.00  95.0  85.0  90.0  80.0  12 10.5  12 13.0  20
40   87.5 100.0  92.5  90.0  95.00  91.0  90.0  95.0 100.0  11 10.0  12 16.5  17
41   93.5  95.0  97.5 100.0 100.00  76.0  95.0  90.0  80.0  12 12.0  14 15.0  13
42   75.0  82.5 100.0 100.0  90.00  88.0  84.0  87.5 100.0  12 11.0  16 14.0  18
43   87.5  62.5  80.0  70.0 100.00  96.0  92.0 100.0  70.0  12  7.0  12 12.0  15
44   90.0  90.0  72.5  90.0 100.00  97.0 100.0  95.0 100.0  12 10.0  11 13.0  13
45   70.0  90.0  90.0  80.0  69.50  54.0  82.0   0.0 100.0   9  6.0   7  8.0   8
46   95.0  85.0  90.0  50.0  56.00  86.0  92.0  75.0  55.0  12 10.5  14  9.0  15
47   82.5 100.0  97.5  90.0  91.25  99.0  97.0 100.0 100.0  12 11.0  16 18.0  20
      EX1   EX2  Homework      Quiz labscore  Overall Grade
1   80.00 90.00 100.00000 19.333333      100 99.50000     A
2   57.60 74.70  97.50000 17.666667      100 91.25000     A
3   56.80 54.90  77.56250 10.000000       20 62.21875    C-
4   69.60 58.05  97.84375 14.000000      100 83.37812     B
5   40.00 16.20  25.43750  4.666667        0 25.63125     F
6   73.60 71.10  78.56250 14.333333       60 78.46875    C+
7   78.40 68.85  90.31250 14.666667      100 86.81875    B+
8   52.00 63.90  93.37500 11.666667      100 77.51250    C+
9   80.00 73.80  87.37500 17.000000      100 89.46250    A-
10  63.20 70.65  93.62500 13.000000      100 83.26250     B
11  21.60 50.40  47.50000  6.666667      100 48.65000     F
12  77.60 87.30  98.12500 18.000000      100 96.58750     A
13  42.40 41.40  51.87500 10.000000      100 55.16250     D
14  70.40 68.40  85.50000 16.166667      100 84.37500     B
15  68.00 70.20  95.31250 13.333333      100 85.09375     B
16  40.00 36.90  56.18750 13.666667      100 57.35625     D
17  47.20 20.70  73.18750  5.666667      100 53.75625     D
18  59.20 69.30  92.50000 12.333333      100 81.05000    B-
19  64.00 67.95  82.37500 12.333333      100 82.83750     B
20  61.60 62.10  82.21875 10.666667       40 69.31562    C-
21  69.60 70.20  99.68750 17.333333      100 89.80625    A-
22  64.00 77.40  95.87500 16.666667      100 92.76250     A
23  54.40 45.00  74.62500 12.666667      100 71.38750     C
24  35.20 31.50  84.75000  7.333333      100 58.47500     D
25  64.80 81.00  90.06250 16.333333      100 87.96875    B+
26  39.20 42.75  78.43750  5.666667      100 59.45625     D
27  67.20 77.40  98.87500 12.000000      100 86.96250    B+
28  50.40 61.20  92.56250 12.333333      100 76.61875     C
29  57.60 62.10  82.25000 12.666667      100 79.42500    C+
30  72.00 67.50  90.25000 16.000000      100 85.82500     B
31  64.80 70.65  91.56250 13.000000      100 83.04375     B
32  63.20 64.35  91.93750 13.666667       80 79.50625    B-
33  79.20 67.05  97.68750 18.000000      100 91.23125     A
34  62.40 48.15  91.62500 13.666667      100 76.71250     C
35  29.60 24.75  73.31250  9.000000      100 53.01875     D
36  62.40 35.10  91.31250 11.333333      100 71.24375     C
37  44.80 63.45  63.96875  9.000000      100 67.56562    C-
38  67.20 75.60  90.93750 15.000000      100 86.33125    B+
39  66.40 63.00  93.12500 15.000000      100 83.28750     B
40  72.00 81.00  94.18750 15.166667      100 90.13125     A
41  76.80 75.15  93.87500 14.000000      100 88.73750    A-
42  76.80 76.50  91.50000 16.000000      100 89.90000    A-
43  58.40 54.90  86.93750 13.000000      100 75.68125     C
44  55.20 41.40  95.25000 12.333333      100 73.12500     C
45  37.60 43.20  79.43750  7.666667       60 56.98125     D
46  42.40 27.00  79.25000 13.166667      100 61.75000    C-
47  67.20 73.80  96.84375 18.000000      100 89.85312    A-
 [ reached getOption("max.print") -- omitted 287 rows ]
